region,city,address_street,address_type
респ. Ингушетия,клх Тутончаны,"пр. 1 Мая, д. 16",получатель
Забайкальский край,клх Сосногорск,"алл. Комарова, д. 711 стр. 10",получатель
респ. Коми,п. Бомнак,"ул. Советская, д. 3 стр. 8/8",отправитель
Чукотский АО,с. Нижнеудинск,"алл. Вокзальная, д. 370 стр. 5",отправитель
Красноярский край,г. Орехово-Зуево,"пр. Вишневый, д. 8/3 стр. 4",получатель
Краснодарский край,ст. Гудермес,"ул. Целинная, д. 555 к. 2/7",отправитель
Красноярский край,с. Шереметьево,"пер. Речной, д. 3/3",отправитель
Ставропольский край,к. Одинцово,"пр. Ушакова, д. 4 стр. 9/8",получатель
Еврейская АО,д. Сусуман,"ш. Декабристов, д. 4/5",получатель
Свердловская обл.,к. Меренга,"пр. Коллективный, д. 474",получатель
респ. Коми,п. Змеиногорск,"ш. Зеленое, д. 993",получатель
Камчатский край,п. Кулу,"алл. 9 Января, д. 1",получатель
Красноярский край,г. Усть-Ишим,"алл. Лесная, д. 463 к. 2",получатель
Чукотский АО,с. Горячий Ключ,"наб. Металлургов, д. 8 к. 5",получатель
Чукотский АО,п. Усть-Илимск,"ул. Победы, д. 18 стр. 175",получатель
Ненецкий АО,ст. Коломна,"пр. Чайковского, д. 67 к. 23",получатель
респ. Адыгея,ст. Лесной (Сверд.),"алл. Российская, д. 818 к. 1",отправитель
респ. Дагестан,г. Томск,"пр. 9 Января, д. 5/2",отправитель
Саратовская обл.,ст. Советский,"наб. Черняховского, д. 898 стр. 3/7",отправитель
Ненецкий АО,к. Выборг,"ш. Октябрьское, д. 302",получатель
Ханты-Мансийский АО,ст. Солнечногорск,"пер. Лазо, д. 41",отправитель
Ненецкий АО,п. Двинской,"пр. Седова, д. 5/6",отправитель
Ханты-Мансийский АО,п. Тула,"бул. Щербакова, д. 5",отправитель
Ненецкий АО,клх Тында,"ул. Дарвина, д. 451 стр. 557",отправитель
Новосибирская обл.,ст. Холмогоры,"бул. Седова, д. 3 стр. 9",получатель
респ. Хакасия,к. Златоуст,"ш. Коллективное, д. 2 к. 79",получатель
Курская обл.,с. Дзержинск,"алл. Казанская, д. 2 к. 6/9",получатель
респ. Удмуртия,ст. Томск,"ш. Строителей, д. 87 к. 6",получатель
Астраханская обл.,д. Воткинск,"наб. Свободная, д. 3/9 стр. 48",получатель
Алтайский край,п. Белогорск (Амур.),"наб. Луначарского, д. 9",получатель
респ. Карачаево-Черкесия,д. Тихвин,"ш. Калинина, д. 1/1 стр. 3/7",отправитель
Хабаровский край,к. Чайковский,"наб. Свободы, д. 3/2",отправитель
Саратовская обл.,д. Южно-Курильск,"наб. Спортивная, д. 3",получатель
Ямало-Ненецкий АО,г. Ивдель,"пер. Пограничный, д. 74",отправитель
Красноярский край,г. Северодвинск,"ш. Верхнее, д. 877",отправитель
Липецкая обл.,ст. Тобольск,"бул. Нижний, д. 8",отправитель
Ставропольский край,с. Избербаш,"бул. Гагарина, д. 7/9 к. 996",отправитель
Приморский край,к. Майкоп,"пер. Геологов, д. 287 к. 5/6",получатель
Ханты-Мансийский АО,ст. Сорочинск,"пер. Геологов, д. 7/5 стр. 36",получатель
респ. Коми,д. Шумиха,"ш. Юбилейное, д. 91 стр. 7/8",получатель
респ. Чувашия,г. Плесецк,"алл. Коминтерна, д. 1 стр. 80",отправитель
респ. Адыгея,к. Радужный,"алл. Тульская, д. 4/5",отправитель
Алтайский край,д. Можга,"алл. Труда, д. 1/2 стр. 8",отправитель
Краснодарский край,п. Тында,"алл. Сиреневая, д. 739",отправитель
Ульяновская обл.,п. Кежма,"пер. Карла Либкнехта, д. 545",получатель
респ. Марий-Эл,п. Тобольск,"ул. Кочубея, д. 7 к. 60",отправитель
Камчатский край,ст. Домодедово,"пр. Ушакова, д. 9/9",отправитель
Хабаровский край,п. Ноябрьск,"ш. Шевченко, д. 61",получатель
респ. Тыва,с. Шелагонцы,"алл. Васильковая, д. 3 стр. 187",отправитель
Ненецкий АО,ст. Бологое,"наб. Циолковского, д. 897",получатель
Чукотский АО,с. Кежма,"ш. Сенное, д. 4/2",отправитель
респ. Карачаево-Черкесия,ст. Тулпан,"наб. Интернациональная, д. 8/9",отправитель
Еврейская АО,с. Байкальск,"пер. Водопроводный, д. 9 к. 920",получатель
Забайкальский край,г. Грозный,"ш. Производственное, д. 4 к. 98",отправитель
Воронежская обл.,с. Волгодонск,"пр. Советской Армии, д. 1 к. 613",отправитель
респ. Коми,п. Зарайск,"ул. Краснофлотская, д. 4/2 стр. 62",отправитель
Курганская обл.,ст. Лотошино,"пр. Достоевского, д. 5/8 стр. 7",отправитель
Оренбургская обл.,г. Павловский Посад,"ул. Механизаторов, д. 201 к. 2",отправитель
Ставропольский край,с. Надым,"бул. Воровского, д. 9 стр. 9/2",получатель
Чукотский АО,г. Быково (метеост.),"бул. Петровский, д. 532",отправитель
Ямало-Ненецкий АО,клх Певек,"пер. Фадеева, д. 74",получатель
Еврейская АО,ст. Сунтар,"ул. Алтайская, д. 5/1",отправитель
Ивановская обл.,клх Серебряные Пруды,"пр. Щербакова, д. 47",отправитель
Ямало-Ненецкий АО,ст. Ногинск (Моск.),"алл. Толбухина, д. 4 к. 5/3",получатель
респ. Карелия,с. Карабулак,"пер. Профсоюзный, д. 590 к. 9/8",получатель
Камчатский край,клх Черкесск,"пр. Карла Либкнехта, д. 5 к. 5",отправитель
респ. Кабардино-Балкария,с. Кострома,"наб. Гагарина, д. 73",отправитель
Ямало-Ненецкий АО,клх Миллерово,"пр. 40 лет Победы, д. 588 стр. 326",отправитель
Приморский край,с. Саров (Морд.),"пер. Орджоникидзе, д. 633 стр. 1",отправитель
Ханты-Мансийский АО,д. Ревда (Сверд.),"ул. Шахтерская, д. 5/8 к. 3",отправитель
Еврейская АО,клх Внуково (метеост.),"наб. Покровская, д. 8/7 стр. 6/3",получатель
Тамбовская обл.,с. Оленек,"пр. Сосновый, д. 9 стр. 1",получатель
Краснодарский край,клх Сковородино,"ш. Труда, д. 40 стр. 1",получатель
Ханты-Мансийский АО,ст. Лазаревское,"пер. Кольцова, д. 7",получатель
Ставропольский край,п. Шахты,"наб. Мельничная, д. 3 стр. 3",получатель
респ. Адыгея,д. Нижний Тагил,"ш. Правды, д. 2/2 к. 628",отправитель
Новгородская обл.,г. Пушкинские Горы,"бул. Вольный, д. 156 стр. 6",отправитель
респ. Калмыкия,д. Пушкин,"алл. Шолохова, д. 48",отправитель
Тверская обл.,п. Йошкар-Ола,"ул. Новгородская, д. 765",отправитель
Еврейская АО,ст. Кострома,"ул. Торговая, д. 9/7",получатель
Алтайский край,ст. Ялуторовск,"ш. Громова, д. 9 стр. 16",отправитель
Ямало-Ненецкий АО,п. Карталы,"наб. Пугачева, д. 8/6 стр. 6",отправитель
Приморский край,с. Артем,"алл. Лесхозная, д. 1 стр. 5/1",получатель
Нижегородская обл.,с. Мытищи,"бул. Осипенко, д. 31 к. 73",получатель
Еврейская АО,п. Игарка,"пр. Моховой, д. 5 к. 17",получатель
Еврейская АО,к. Муром,"алл. Октября, д. 6/3 к. 502",отправитель
Пермский край,г. Оленек,"наб. Веселая, д. 21 к. 3",отправитель
Иркутская обл.,д. Туапсе,"ш. Безымянное, д. 2/4 к. 8",получатель
Краснодарский край,п. Рубцовск,"наб. Комарова, д. 3/5 стр. 7",получатель
Приморский край,клх Тобольск,"наб. Заозерная, д. 6 стр. 3/9",получатель
Красноярский край,клх Кулу,"пр. Озерный, д. 52",получатель
Ямало-Ненецкий АО,с. Воткинск,"пер. Малиновый, д. 501 к. 2/6",отправитель
Тульская обл.,ст. Шамары,"пер. Красный, д. 9/9 к. 7/6",отправитель
Приморский край,к. Владикавказ,"пр. Ильича, д. 8/4",отправитель
респ. Крым,к. Миллерово,"наб. Ростовская, д. 84",отправитель
Еврейская АО,д. Казань,"алл. Мусы Джалиля, д. 77 к. 61",отправитель
Камчатский край,п. Красноуральск,"ул. Королева, д. 775",отправитель
респ. Северная Осетия - Алания,г. Новая Игирма,"бул. Фестивальный, д. 268 стр. 259",отправитель
Алтайский край,п. Гусь-Хрустальный,"пр. Рыбацкий, д. 933 к. 67",отправитель
респ. Хакасия,г. Нязепетровск,"пер. Советов, д. 85 стр. 7",отправитель
Хабаровский край,г. Ростов-на-Дону,"наб. Заводская, д. 450 к. 358",отправитель
Ленинградская обл.,г. Чикола,"ш. Нагорное, д. 547 к. 6",получатель
респ. Чечня,д. Барнаул,"ш. Правды, д. 82 стр. 420",отправитель
Ханты-Мансийский АО,п. Калязин,"пер. Герцена, д. 877",отправитель
Хабаровский край,с. Юрьевец (Иван.),"пр. Боровой, д. 407",отправитель
Чукотский АО,с. Туруханск,"бул. Линейный, д. 2 стр. 89",отправитель
Ставропольский край,клх Мезень,"ш. Молодежное, д. 6 к. 95",получатель
Чукотский АО,п. Буденновск,"алл. Одесская, д. 47 стр. 801",отправитель
респ. Татарстан,п. Саранск,"бул. Буденного, д. 8/9 к. 9/9",получатель
Астраханская обл.,д. Нижнекамск,"бул. Вавилова, д. 69",получатель
Чукотский АО,к. Соболево,"алл. 8-е Марта, д. 23 стр. 92",отправитель
респ. Дагестан,п. Пинега,"пр. Королева, д. 3/7 стр. 2/7",отправитель
респ. Крым,с. Соловки,"ул. Маркса Карла, д. 3/9 к. 79",получатель
Ямало-Ненецкий АО,с. Воронеж,"бул. О.Кошевого, д. 6 стр. 893",отправитель
Нижегородская обл.,г. Муром,"ул. Васильковая, д. 86 к. 380",получатель
Еврейская АО,п. Морозовск,"ш. Коллективное, д. 91 к. 5",отправитель
респ. Чувашия,г. Миллерово,"бул. Луначарского, д. 5 стр. 2",отправитель
Еврейская АО,ст. Солнечногорск,"алл. Механизаторов, д. 8/6",отправитель
респ. Бурятия,г. Нязепетровск,"наб. Сахалинская, д. 121 стр. 209",отправитель
Ненецкий АО,п. Артем,"алл. Курортная, д. 1 стр. 759",получатель
респ. Карачаево-Черкесия,с. Данков,"алл. Коммунальная, д. 43 к. 447",получатель
респ. Северная Осетия - Алания,ст. Суздаль,"ул. Абрикосовая, д. 76 к. 213",получатель
Еврейская АО,клх Лысьва,"алл. Береговая, д. 1 к. 8/2",получатель
Еврейская АО,п. Архыз,"бул. Кирова, д. 68",отправитель
респ. Хакасия,г. Шадринск,"бул. Волжский, д. 868",получатель
Алтайский край,клх Кингисепп,"бул. Буденного, д. 208",отправитель
Краснодарский край,д. Соловки,"алл. Проточная, д. 29 стр. 5",получатель
Смоленская обл.,с. Ясный (Оренб.),"пр. Рябиновый, д. 516",отправитель
Самарская обл.,д. Поярково,"пр. Глинки, д. 104 к. 14",получатель
респ. Саха (Якутия),к. Чита,"пр. Полевой, д. 5/6 стр. 3",получатель
респ. Северная Осетия - Алания,п. Пермь,"пр. Западный, д. 540",отправитель
Чукотский АО,ст. Ясный (Оренб.),"пр. Байкальский, д. 71 к. 3/7",получатель
Краснодарский край,ст. Курган,"бул. Прохладный, д. 5 к. 722",получатель
Самарская обл.,клх Майкоп,"наб. Морская, д. 251 стр. 7",отправитель
Челябинская обл.,ст. Сибай,"ш. Тульское, д. 3 стр. 5",отправитель
респ. Тыва,клх Троицко-Печорск,"наб. Панфилова, д. 3 стр. 33",отправитель
Хабаровский край,с. Вытегра,"пер. Запрудный, д. 5/4",отправитель
Владимирская обл.,д. Вытегра,"бул. Каштановый, д. 914 к. 119",получатель
респ. Чечня,клх Псебай,"ш. Строителей, д. 7 стр. 9/7",отправитель
респ. Хакасия,с. Арсеньев,"пер. Одесский, д. 9/4",получатель
Ненецкий АО,ст. Зарайск,"пр. Мельничный, д. 505 к. 8/6",получатель
Ямало-Ненецкий АО,д. Усинск,"ш. Папанина, д. 804 стр. 71",отправитель
Красноярский край,с. Калуга,"пер. Дарвина, д. 5",отправитель
Ханты-Мансийский АО,п. Приозерск,"наб. Техническая, д. 9/1 к. 586",получатель
Краснодарский край,клх Кыштым,"ш. Осенное, д. 3 стр. 37",получатель
респ. Удмуртия,п. Псков,"ш. Олимпийское, д. 90 к. 3",отправитель
Мурманская обл.,к. Игнашино,"бул. Минский, д. 52 к. 9/4",получатель
Кемеровская обл.,п. Ардон,"бул. Широкий, д. 2 стр. 6/6",отправитель
респ. Калмыкия,ст. Верхний Тагил,"наб. Гафури, д. 3 стр. 1/9",получатель
Новгородская обл.,к. Яшалта,"ул. Серафимовича, д. 5/7",получатель
респ. Бурятия,с. Архыз,"пр. Дружба, д. 814 стр. 6",получатель
Саратовская обл.,к. Наро-Фоминск,"пр. Журавлева, д. 723 к. 90",отправитель
респ. Чечня,клх Бийск,"алл. Привольная, д. 5",получатель
Чукотский АО,д. Сосновый Бор,"ш. Иванова, д. 89 стр. 64",отправитель
Еврейская АО,к. Камень-на-Оби,"наб. Гаражная, д. 613",отправитель
Ненецкий АО,п. Волоколамск,"пер. Верхний, д. 669 стр. 226",получатель
Ставропольский край,г. Верхотурье,"ш. Железнодорожное, д. 1/2 стр. 952",получатель
респ. Коми,к. Солнечногорск,"алл. Трудовая, д. 9 к. 8/7",получатель
Брянская обл.,г. Рыбинск,"ш. Тимирязева, д. 329",получатель
Мурманская обл.,клх Агинское (Забайк.),"пр. Кузнечный, д. 5 стр. 8",получатель
Ханты-Мансийский АО,г. Ногинск (Моск.),"алл. О.Кошевого, д. 6 к. 8",отправитель
Еврейская АО,ст. Агинское (Забайк.),"алл. Ульяновская, д. 865 к. 3/8",получатель
респ. Кабардино-Балкария,с. Юрьевец (Иван.),"пр. Волкова, д. 5/3",получатель
Ненецкий АО,д. Домбай,"бул. Герцена, д. 153 к. 604",получатель
Ненецкий АО,ст. Киренск,"пер. Казанский, д. 3 стр. 32",получатель
Ханты-Мансийский АО,ст. Торжок,"наб. Ватутина, д. 17 стр. 125",отправитель
Рязанская обл.,д. Калевала,"ш. Коммунистическое, д. 764 к. 6/5",получатель
Краснодарский край,клх Абакан,"наб. Луначарского, д. 8/9 к. 642",отправитель
респ. Калмыкия,д. Ковров,"ш. Физкультурное, д. 911 стр. 3/6",отправитель
респ. Татарстан,г. Серебряные Пруды,"алл. Ленинская, д. 362 к. 45",отправитель
Смоленская обл.,г. Краснотурьинск,"бул. Осенний, д. 99 к. 2",получатель
Еврейская АО,клх Шали,"пр. Журавлева, д. 433 стр. 82",получатель
Ненецкий АО,п. Стрежевой,"пр. Санаторный, д. 585 к. 82",отправитель
Алтайский край,г. Яхрома,"наб. Тепличная, д. 1",отправитель
Псковская обл.,п. Ангарск,"бул. Маркса Карла, д. 35 стр. 3",отправитель
Ханты-Мансийский АО,клх Торжок,"ш. Большевистское, д. 635 стр. 197",отправитель
респ. Мордовия,клх Новый Оскол,"алл. Ленина, д. 2/3 к. 125",отправитель
респ. Калмыкия,к. Холмогоры,"пр. Санаторный, д. 92 стр. 317",отправитель
Краснодарский край,ст. Руза,"ул. Хуторская, д. 867 к. 4/3",получатель
Забайкальский край,клх Вологда,"ш. Щетинкина, д. 330 стр. 110",получатель
Костромская обл.,к. Сочи,"пр. Первомайский, д. 5/4 стр. 3/8",отправитель
Челябинская обл.,п. Жуковский,"бул. Свободы, д. 1/9 стр. 8",отправитель
Вологодская обл.,с. Южноуральск,"ул. 50 лет Победы, д. 3 стр. 193",получатель
респ. Саха (Якутия),г. Анапа,"пер. Грибоедова, д. 159 к. 2",получатель
Пермский край,д. Луховицы,"алл. Вавилова, д. 9 стр. 4",получатель
Орловская обл.,"д. Москва, МГУ","ул. Комсомольская, д. 3",отправитель
Ханты-Мансийский АО,д. Королев,"алл. Озерная, д. 9 к. 4",получатель
Пермский край,ст. Мураши,"ул. Станиславского, д. 39",отправитель
Сахалинская обл.,ст. Арзамас,"ш. Толстого, д. 7/8",отправитель
респ. Кабардино-Балкария,ст. Калач,"пер. 70 лет Октября, д. 49 стр. 5",получатель
Сахалинская обл.,к. Шатой,"пер. Производственный, д. 89 к. 6/2",получатель
Кировская обл.,с. Белорецк,"бул. Бабушкина, д. 72",отправитель
Ненецкий АО,д. Чулым,"ш. Гражданское, д. 1/5 к. 80",отправитель
респ. Коми,г. Бронницы,"ш. Школьное, д. 4/1 стр. 328",получатель
респ. Коми,ст. Аша,"бул. Рыбацкий, д. 6/8 к. 89",отправитель
Псковская обл.,к. Воскресенск,"ул. 30 лет Победы, д. 3/8 к. 5",получатель
респ. Марий-Эл,п. Уссурийск,"пр. Энгельса, д. 542",получатель
Чукотский АО,клх Ковров,"ул. Каштановая, д. 9/5 к. 21",получатель
Челябинская обл.,п. Ессентуки,"ул. Ударная, д. 30",отправитель
респ. Крым,п. Усть-Калманка,"ул. Чернышевского, д. 92",отправитель
Красноярский край,д. Петушки,"пер. Студенческий, д. 78 к. 11",получатель
Ставропольский край,ст. Новгород Великий,"пер. Березовый, д. 408 стр. 6/5",получатель
Московская обл.,к. Щельяюр,"ул. Макаренко, д. 6/9",получатель
Ростовская обл.,с. Тобольск,"алл. Лесозаводская, д. 7/3 к. 4/1",получатель
Курская обл.,ст. Чулым,"бул. Карьерный, д. 8 стр. 545",отправитель
Астраханская обл.,п. Волхов,"пер. Серова, д. 40 к. 27",получатель
респ. Саха (Якутия),к. Гусь-Хрустальный,"ш. Отрадное, д. 5/3 к. 405",отправитель
респ. Удмуртия,клх Самара,"бул. Фрунзе, д. 14 к. 5/2",отправитель
Алтайский край,г. Черкесск,"алл. Маркса, д. 3/7 стр. 51",получатель
Чукотский АО,г. Радужный,"ул. Зои Космодемьянской, д. 669",отправитель
Еврейская АО,ст. Магадан,"пр. Дорожный, д. 366",отправитель
респ. Хакасия,к. Лотошино,"ул. Речная, д. 4",получатель
Ямало-Ненецкий АО,г. Хоста,"алл. Карла Маркса, д. 256",получатель
респ. Алтай,клх Кизляр,"пер. Коминтерна, д. 94 к. 2/1",отправитель
Свердловская обл.,к. Кулу,"алл. Тургенева, д. 2/3 к. 90",получатель
Ханты-Мансийский АО,ст. Гаврилов-Ям,"алл. Мира, д. 539 стр. 7",получатель
Красноярский край,с. Новая Игирма,"пер. Мирный, д. 7/3 к. 970",отправитель
Алтайский край,с. Голицыно,"алл. Красина, д. 7",получатель
Ленинградская обл.,п. Рославль,"пер. Водников, д. 2/2 к. 52",получатель
Ханты-Мансийский АО,к. Ханты-Мансийск,"пер. Молодежный, д. 1 к. 9",получатель
Курская обл.,к. Минеральные Воды,"алл. Пушкинская, д. 78 стр. 2/6",отправитель
Красноярский край,к. Данков,"бул. Ореховый, д. 6 к. 5/9",отправитель
Красноярский край,с. Советский,"алл. Восточная, д. 900 к. 3",получатель
респ. Карелия,п. Ачхой Мартан,"ш. Смирнова, д. 731 к. 4/4",получатель
респ. Саха (Якутия),с. Партизанск,"наб. Крылова, д. 92 к. 8/8",получатель
Забайкальский край,клх Бирск,"пр. Гагарина, д. 8/7",получатель
респ. Карачаево-Черкесия,д. Чайковский,"ул. Зеленая, д. 8",получатель
Ханты-Мансийский АО,д. Ряжск,"пер. Пограничный, д. 389 к. 6/4",отправитель
Алтайский край,д. Кедровый,"алл. Маркса, д. 8/4 стр. 198",отправитель
респ. Башкортостан,с. Андреаполь,"алл. Минина, д. 7 к. 92",отправитель
респ. Ингушетия,с. Ставрополь,"пер. Волжский, д. 8 к. 8",отправитель
Приморский край,п. Северобайкальск,"пер. Октября, д. 27",получатель
респ. Карелия,к. Сортавала,"ул. Ульяновская, д. 3/8 стр. 3",получатель
Хабаровский край,с. Асино,"наб. Дорожников, д. 57 к. 9/8",отправитель
Ямало-Ненецкий АО,ст. Ивдель,"ш. Гагарина, д. 271 к. 7/9",отправитель
Ямало-Ненецкий АО,г. Минусинск,"алл. Донская, д. 143 к. 69",отправитель
Ивановская обл.,ст. Иркутск,"бул. Макаренко, д. 998",получатель
Красноярский край,с. Приозерск,"наб. Ангарская, д. 10 стр. 96",отправитель
респ. Северная Осетия - Алания,г. Калязин,"ул. Геологическая, д. 376 к. 24",отправитель
Чукотский АО,ст. Воркута,"алл. Никитина, д. 7/1 к. 7/5",отправитель
респ. Карачаево-Черкесия,к. Канск,"наб. 9 мая, д. 557",отправитель
Ханты-Мансийский АО,с. Тымовское,"ш. Розы Люксембург, д. 111 стр. 8/6",отправитель
Белгородская обл.,к. Гагарин,"наб. Ленская, д. 2/9 к. 1",получатель
Нижегородская обл.,г. Кропоткин (Краснод.),"ш. Титова, д. 2",получатель
Пермский край,г. Каменномостский,"ул. Тихая, д. 11",отправитель
Псковская обл.,к. Малая Вишера,"пер. Гоголя, д. 4",получатель
Чукотский АО,д. Ясный (Оренб.),"пер. Юности, д. 9/7 стр. 7",отправитель
Красноярский край,д. Буйнакск,"бул. Куйбышева, д. 4 к. 1",отправитель
