region,city,address_street,address_type
Белгородская обл.,с. Батайск,"пер. Кирпичный, д. 616 к. 2/5",получатель
Рязанская обл.,г. Неплюевка,"ул. Советская, д. 5 к. 4",получатель
респ. Чечня,клх Саратов,"ш. Челюскинцев, д. 91 стр. 40",получатель
Кировская обл.,д. Ребриха,"пр. Бульварный, д. 86",получатель
респ. Калмыкия,клх Якша,"алл. Песчаная, д. 8 к. 54",получатель
Ханты-Мансийский АО,г. Троицк (Челяб.),"бул. Целинный, д. 560",отправитель
Саратовская обл.,ст. Мокшан,"наб. Кошевого, д. 65 к. 79",получатель
респ. Кабардино-Балкария,г. Калининград,"наб. Лазо, д. 45",отправитель
Курская обл.,к. Красногорск (Моск.),"ш. Юности, д. 692",получатель
респ. Ингушетия,с. Нижнекамск,"алл. Клары Цеткин, д. 504 к. 672",отправитель
Тверская обл.,п. Красная Поляна,"алл. Мая 1, д. 2 к. 693",получатель
Калужская обл.,п. Иваново,"пр. Ушакова, д. 7/8",получатель
Ханты-Мансийский АО,к. Тихвин,"пер. Чернышевского, д. 50 к. 89",получатель
Ямало-Ненецкий АО,клх Новосибирск,"ул. Ленинская, д. 8 к. 8/1",получатель
респ. Мордовия,ст. Воркута,"алл. Верхняя, д. 59",получатель
Краснодарский край,ст. Мелеуз,"пр. Инженерный, д. 87",получатель
Камчатский край,с. Магадан,"наб. Энергетическая, д. 5/2 к. 3",получатель
Ямало-Ненецкий АО,клх Зеленогорск (Ленин.),"пр. Большой, д. 696",получатель
Псковская обл.,д. Мелеуз,"алл. Просвещения, д. 4 стр. 98",отправитель
респ. Крым,д. Гагарин,"наб. Жданова, д. 416",получатель
Приморский край,к. Рубцовск,"бул. Ветеранов, д. 9/2 к. 935",получатель
Калужская обл.,к. Дно,"бул. Репина, д. 122 стр. 7",получатель
Тамбовская обл.,клх Мокшан,"пер. Мирный, д. 63 к. 1",получатель
Ханты-Мансийский АО,д. Магадан,"пер. Вокзальный, д. 129 к. 268",получатель
Ненецкий АО,с. Чокурдах,"алл. Казачья, д. 576",отправитель
Ставропольский край,д. Ижевск,"бул. 50 лет Октября, д. 8/1 к. 6/7",получатель
Алтайский край,г. Асино,"ул. Хвойная, д. 684 стр. 9",получатель
Приморский край,клх Хасавюрт,"пр. Аэродромный, д. 508",отправитель
Ханты-Мансийский АО,д. Шали,"ш. Амурское, д. 20",получатель
Оренбургская обл.,с. Макушино,"наб. Вольная, д. 29",получатель
Ямало-Ненецкий АО,г. Быково (метеост.),"наб. Тракторная, д. 2 к. 51",отправитель
Белгородская обл.,п. Борзя,"пр. Просвещения, д. 6/8 стр. 570",отправитель
респ. Ингушетия,с. Ржев,"бул. Высоцкого, д. 781 стр. 61",отправитель
Приморский край,ст. Цимлянск,"бул. Некрасова, д. 902",получатель
Ненецкий АО,д. Тулпан,"алл. Луначарского, д. 156 к. 331",получатель
Калининградская обл.,п. Шатой,"ш. Литейное, д. 7/5 к. 8",отправитель
Хабаровский край,д. Белорецк,"пер. Семашко, д. 18",отправитель
Саратовская обл.,г. Лабытнанги,"наб. Парижской Коммуны, д. 7 стр. 143",получатель
Тверская обл.,г. Костомукша,"ул. Малая, д. 72 к. 5",отправитель
Хабаровский край,п. Ясный (Оренб.),"алл. Нефтяников, д. 16 стр. 8",получатель
Забайкальский край,к. Старый Оскол,"пр. Победы, д. 9 стр. 748",отправитель
Забайкальский край,к. Домбай,"бул. М.Горького, д. 333 к. 4/1",получатель
респ. Карачаево-Черкесия,г. Ербогачен,"ш. Пригородное, д. 9/7 к. 711",получатель
респ. Удмуртия,клх Беслан,"бул. Прибрежный, д. 7 к. 1/8",отправитель
респ. Коми,д. Лазаревское,"ул. Линейная, д. 829 к. 787",отправитель
Тульская обл.,к. Кинешма,"бул. Ломоносова, д. 18 стр. 178",получатель
респ. Алтай,с. Таштагол,"алл. Макаренко, д. 6 к. 29",получатель
Ханты-Мансийский АО,к. Котельнич,"ул. Тимирязева, д. 9/1 стр. 4",получатель
Ямало-Ненецкий АО,п. Мураши,"пер. Менделеева, д. 5/6 стр. 338",отправитель
Ямало-Ненецкий АО,п. Нерчинск,"пр. Кочубея, д. 1",отправитель
Чукотский АО,к. Кимры,"пр. Союзный, д. 52 стр. 9",отправитель
Ямало-Ненецкий АО,д. Южно-Курильск,"ул. Локомотивная, д. 76 к. 3/9",отправитель
Оренбургская обл.,с. Тверь,"пер. Щетинкина, д. 12",получатель
респ. Дагестан,ст. Чехов,"бул. Пограничный, д. 3/2",получатель
Ростовская обл.,п. Стерлитамак,"бул. Чехова, д. 93 стр. 6",отправитель
Еврейская АО,г. Кулу,"пер. Ясный, д. 4/4 стр. 5",отправитель
Воронежская обл.,с. Сергиев Посад,"бул. Олега Кошевого, д. 903",получатель
Пермский край,г. Баксан,"алл. Казачья, д. 29 к. 11",отправитель
Ханты-Мансийский АО,д. Кежма,"ш. 9 мая, д. 3/1",отправитель
Чукотский АО,с. Щелково,"бул. Донской, д. 39 стр. 75",отправитель
респ. Чечня,с. Поронайск,"бул. Просторный, д. 506",получатель
Волгоградская обл.,г. Джейрах,"бул. Высоцкого, д. 11 к. 475",получатель
Алтайский край,п. Нефтегорск (Самар.),"ш. Депутатское, д. 3",получатель
Пермский край,п. Игарка,"алл. Детская, д. 96",отправитель
Ямало-Ненецкий АО,п. Вытегра,"наб. Родниковая, д. 1/2 стр. 96",отправитель
респ. Дагестан,к. Санкт-Петербург,"ул. Казачья, д. 649 к. 95",получатель
Алтайский край,к. Красноярск,"наб. Достоевского, д. 520 к. 60",получатель
респ. Кабардино-Балкария,д. Магас,"бул. Деповский, д. 45 стр. 18",отправитель
Приморский край,ст. Железногорск(Курск.),"ул. 50 лет Победы, д. 92 стр. 5/7",получатель
Тверская обл.,п. Зеленогорск (Ленин.),"ш. Приморское, д. 7 к. 18",отправитель
Пермский край,ст. Торжок,"бул. Промышленный, д. 8 стр. 1",отправитель
Пермский край,п. Одинцово,"ул. Есенина, д. 9 к. 800",получатель
респ. Тыва,клх Усть-Баргузин,"наб. Ульянова, д. 6/8",получатель
Еврейская АО,с. Тулун,"ш. Слободское, д. 881 к. 1",получатель
Ханты-Мансийский АО,ст. Баксан,"ул. Рыбацкая, д. 4/3",отправитель
Забайкальский край,д. Новомичуринск,"пер. Тракторный, д. 7 к. 9",получатель
Ненецкий АО,д. Щельяюр,"ул. Пушкина, д. 92",получатель
Ямало-Ненецкий АО,с. Пинега,"алл. Нефтяников, д. 3/7 стр. 34",получатель
Владимирская обл.,п. Мурманск,"ш. Мельничное, д. 96",отправитель
респ. Саха (Якутия),клх Хатанга,"пр. Папанина, д. 3/3",получатель
Новосибирская обл.,д. Голицыно,"ул. Островского, д. 7/8",получатель
Ямало-Ненецкий АО,ст. Баргузин,"наб. Фадеева, д. 8 стр. 556",отправитель
Приморский край,п. Токма,"наб. Детская, д. 9/9 к. 52",отправитель
Белгородская обл.,г. Карабудахкент,"пер. Сиреневый, д. 7/6",отправитель
респ. Карачаево-Черкесия,к. Рыбинск,"пер. Дзержинского, д. 43",отправитель
респ. Чувашия,с. Нефтеюганск,"пр. Войкова, д. 5/9",отправитель
Рязанская обл.,г. Воркута,"бул. Республиканский, д. 22 к. 76",получатель
Чукотский АО,с. Тимашевск,"алл. Озерная, д. 1/1 к. 6/2",отправитель
Ставропольский край,ст. Кетченеры,"алл. Каштановая, д. 463",отправитель
Белгородская обл.,п. Ярославль,"алл. Фурманова, д. 1/7",получатель
Тюменская обл.,к. Шерегеш,"пр. Королева, д. 9 стр. 7",отправитель
Еврейская АО,п. Сальск,"ш. Осипенко, д. 60",отправитель
респ. Хакасия,клх Кедровый,"ул. Дзержинского, д. 4/3 стр. 261",отправитель
Красноярский край,г. Калач,"пер. Кутузова, д. 47 стр. 80",отправитель
Амурская обл.,с. Туруханск,"бул. Приозерный, д. 3/7 стр. 793",отправитель
респ. Крым,клх Якша,"бул. Мелиораторов, д. 74 стр. 8",отправитель
Краснодарский край,клх Учалы,"бул. Вахитова, д. 6",получатель
Саратовская обл.,с. Асбест,"наб. Саратовская, д. 5 стр. 9/1",отправитель
Хабаровский край,с. Шаховская,"бул. Красный, д. 80 к. 9/4",получатель
Забайкальский край,клх Ялуторовск,"пр. 9 Января, д. 354 к. 7/4",получатель
Ямало-Ненецкий АО,клх Тамбей,"ул. Чернышевского, д. 91 к. 51",получатель
Калининградская обл.,п. Долинск,"пер. Первомайский, д. 29 к. 826",получатель
Еврейская АО,клх Шатура,"пер. Осенний, д. 97",получатель
Ставропольский край,д. Урюпинск,"бул. Харьковский, д. 362 стр. 4/6",получатель
Пермский край,г. Белый Яр (Томск.),"ш. Луговое, д. 354",отправитель
Архангельская обл.,г. Каменск-Шахтинский,"ул. Розы Люксембург, д. 224 стр. 917",получатель
Чукотский АО,с. Далматово,"ул. Школьная, д. 9 стр. 6/2",получатель
Курганская обл.,г. Плесецк,"ул. Черемушки, д. 8/5",получатель
Забайкальский край,клх Шумиха,"ул. Черняховского, д. 810 к. 109",отправитель
Пензенская обл.,д. Вендинга,"алл. Партизанская, д. 25 к. 712",получатель
респ. Башкортостан,ст. Шатура,"бул. Шахтерский, д. 9 к. 328",получатель
респ. Хакасия,ст. Анапа,"ул. Ленинская, д. 2/2",получатель
респ. Удмуртия,д. Ноябрьск,"ш. Войкова, д. 694",получатель
Ямало-Ненецкий АО,п. Казань,"алл. Почтовая, д. 530 стр. 661",получатель
Еврейская АО,д. Карабулак,"пр. Чайкиной, д. 2 стр. 4/1",получатель
Ямало-Ненецкий АО,клх Калуга,"ул. Приозерная, д. 873 к. 670",получатель
Ханты-Мансийский АО,ст. Пышма,"пер. Балтийский, д. 209",отправитель
Забайкальский край,с. Таганрог,"ул. Элеваторная, д. 5",отправитель
Ненецкий АО,г. Камышлов,"ш. Черноморское, д. 80 к. 8/8",получатель
Красноярский край,п. Шилка,"пер. Свободы, д. 6/8",получатель
Еврейская АО,п. Медногорск,"наб. Фурманова, д. 2/1 стр. 8",получатель
Ненецкий АО,с. Соль-Илецк,"пер. Огородный, д. 414 к. 76",получатель
Сахалинская обл.,п. Советский,"алл. Красноярская, д. 79 к. 4/2",отправитель
Красноярский край,к. Дзержинск,"пр. Ярославский, д. 8 стр. 9/4",отправитель
Еврейская АО,д. Североуральск,"ул. Огородная, д. 9 к. 8",получатель
Тверская обл.,ст. Крымск,"наб. Надежды, д. 9",получатель
Кировская обл.,п. Черкесск,"наб. Троицкая, д. 24 стр. 56",отправитель
Тверская обл.,п. Руза,"ул. Толбухина, д. 264 к. 610",получатель
Хабаровский край,ст. Братск,"ш. Новое, д. 40 стр. 3/1",получатель
Ненецкий АО,клх Нижний Тагил,"ул. Разина, д. 629",отправитель
Вологодская обл.,к. Середниково,"ул. Ломоносова, д. 9 стр. 27",отправитель
Ханты-Мансийский АО,с. Звенигород,"ул. Репина, д. 6",получатель
респ. Хакасия,ст. Тында,"бул. Краснопартизанский, д. 2",отправитель
респ. Дагестан,с. Зарайск,"пр. 40 лет Октября, д. 4 к. 637",получатель
Ярославская обл.,д. Медногорск,"пр. Огородный, д. 4",получатель
Красноярский край,г. Лотошино,"пер. Индустриальный, д. 7/7",отправитель
Алтайский край,с. Белый Яр (Томск.),"ул. Гражданская, д. 8/6 к. 236",получатель
Новосибирская обл.,ст. Шилка,"пер. Седова, д. 90 к. 8",получатель
Краснодарский край,к. Самара,"бул. Инженерный, д. 63 стр. 76",отправитель
Томская обл.,к. Шенкурск,"ул. Космонавтов, д. 384",отправитель
Краснодарский край,к. Серафимович,"бул. Абрикосовый, д. 61 стр. 63",отправитель
Краснодарский край,г. Хасавюрт,"наб. Водников, д. 7 стр. 619",получатель
респ. Коми,к. Александровск-Сахалинский,"алл. Комарова, д. 3",получатель
Кемеровская обл.,г. Рыбинск,"алл. Геологов, д. 66 к. 5",получатель
Приморский край,п. Нижнекамск,"ш. Гафури, д. 5",отправитель
Ульяновская обл.,г. Омск,"наб. Щорса, д. 16",отправитель
Еврейская АО,д. Дубна,"наб. Ягодная, д. 16 к. 174",получатель
Ставропольский край,п. Малая Вишера,"алл. Гафури, д. 9/1 стр. 9",получатель
Забайкальский край,д. Алексин,"наб. Шмидта, д. 3 к. 2",получатель
респ. Дагестан,к. Нефедова,"ул. Геологов, д. 9/9 стр. 1",отправитель
Ямало-Ненецкий АО,ст. Урюпинск,"алл. Восточная, д. 7/2 стр. 424",отправитель
Ненецкий АО,ст. Кызыл,"алл. Азина, д. 6 стр. 553",отправитель
Иркутская обл.,ст. Кетченеры,"пер. Бабушкина, д. 5/7 стр. 2",отправитель
Еврейская АО,клх Кежма,"ш. Высоцкого, д. 37",получатель
респ. Саха (Якутия),п. Любань,"ул. Угловая, д. 8 стр. 842",получатель
Красноярский край,клх Архангельск,"пер. Байкальский, д. 8/2 стр. 288",получатель
Московская обл.,г. Руза,"алл. Полярная, д. 9 к. 52",отправитель
Калужская обл.,ст. Солнечногорск,"пр. Зеленый, д. 673 к. 666",получатель
Хабаровский край,д. Печенга,"пер. Песчаный, д. 9 стр. 527",отправитель
Ханты-Мансийский АО,п. Бронницы,"пр. Энгельса, д. 25 стр. 8",отправитель
Красноярский край,п. Бологое,"наб. Васильковая, д. 28 к. 75",отправитель
Ханты-Мансийский АО,ст. Борзя,"ул. Ворошилова, д. 637",получатель
Еврейская АО,ст. Краснотурьинск,"пер. Белинского, д. 8/3",отправитель
Ханты-Мансийский АО,п. Сасово,"бул. Азовский, д. 45",отправитель
Ханты-Мансийский АО,п. Серебряные Пруды,"алл. Абрикосовая, д. 37 к. 6/8",отправитель
Тверская обл.,д. Невьянск,"пер. Войкова, д. 4/6 к. 31",получатель
респ. Хакасия,д. Дербент,"наб. Приозерная, д. 1",отправитель
Ямало-Ненецкий АО,г. Орел,"пер. Коммунальный, д. 613 к. 3",отправитель
респ. Удмуртия,ст. Канск,"алл. Поперечная, д. 68",получатель
Ямало-Ненецкий АО,д. Уэлен,"ул. Тургенева, д. 4",отправитель
Ямало-Ненецкий АО,г. Дивногорск,"пер. Городской, д. 1 к. 779",отправитель
респ. Алтай,клх Коломна,"наб. Ленская, д. 905 к. 69",отправитель
Чукотский АО,д. Воскресенск,"пр. Крестьянский, д. 5",отправитель
Камчатский край,ст. Миллерово,"ул. Детская, д. 90 к. 217",получатель
Ростовская обл.,с. Верхний Уфалей,"бул. Новосельский, д. 17",получатель
Ханты-Мансийский АО,к. Воронеж,"пер. Березовый, д. 8/2",получатель
Забайкальский край,клх Саянск,"пер. 40 лет Победы, д. 6/4 стр. 4/4",отправитель
Вологодская обл.,с. Солнечногорск,"бул. Болотный, д. 295",получатель
респ. Коми,д. Меренга,"пр. Новостройка, д. 3/5 стр. 9/2",получатель
Курганская обл.,ст. Каргасок,"алл. Мелиоративная, д. 6/5 к. 939",отправитель
респ. Ингушетия,ст. Домбай,"бул. Ягодный, д. 3 к. 6",получатель
Забайкальский край,д. Хоста,"пр. Юности, д. 108",отправитель
респ. Мордовия,д. Соликамск,"ш. Пригородное, д. 763 стр. 799",получатель
Ямало-Ненецкий АО,клх Элиста,"пр. Фестивальный, д. 7/8",отправитель
Камчатский край,г. Алексин,"пер. Технический, д. 39 к. 1/3",получатель
Пермский край,клх Самара,"ул. Строителей, д. 2",получатель
Красноярский край,ст. Ангарск,"алл. Халтурина, д. 733 стр. 872",получатель
респ. Удмуртия,к. Камышлов,"алл. Октября, д. 5/4",получатель
респ. Ингушетия,к. Березники,"алл. Макаренко, д. 2/7 стр. 35",получатель
Смоленская обл.,с. Гусь-Хрустальный,"пер. Комарова, д. 862 к. 303",отправитель
Еврейская АО,п. Калачинск,"бул. Победа, д. 3 стр. 778",получатель
Саратовская обл.,п. Минеральные Воды,"пр. Смоленский, д. 934 к. 7/7",получатель
респ. Тыва,клх Тында,"ш. Малое, д. 780 стр. 129",отправитель
Свердловская обл.,клх Чебоксары,"наб. Заливная, д. 95 к. 7/8",отправитель
Волгоградская обл.,к. Кизел,"наб. Хуторская, д. 322",получатель
Саратовская обл.,г. Цимлянск,"пр. Рабочий, д. 35",получатель
респ. Алтай,г. Горячинск,"ш. Комарова, д. 51 стр. 7/9",отправитель
Хабаровский край,с. Холмск,"ш. Клары Цеткин, д. 4/7 к. 3/6",отправитель
респ. Мордовия,г. Октябрьский (Башк.),"бул. Павлика Морозова, д. 89 к. 1",получатель
Пермский край,г. Кирово-Чепецк,"ш. Пушкинское, д. 197 стр. 6",получатель
Ямало-Ненецкий АО,п. Сусуман,"ш. Красногвардейское, д. 25 к. 45",получатель
Приморский край,с. Городовиковск,"алл. Механическая, д. 347 стр. 17",отправитель
Чукотский АО,д. Внуково (метеост.),"пр. Огородный, д. 771 к. 700",отправитель
респ. Саха (Якутия),к. Онега,"наб. Хвойная, д. 82",получатель
Мурманская обл.,клх Беслан,"алл. Вахитова, д. 74 к. 41",отправитель
Новгородская обл.,п. Голицыно,"наб. Победа, д. 8/6 к. 3/3",получатель
Ханты-Мансийский АО,клх Курильск,"пр. Степной, д. 8/3",получатель
респ. Хакасия,ст. Шереметьево,"бул. Революционный, д. 8/7 к. 595",получатель
Камчатский край,п. Хасан,"ш. Строительное, д. 8/3",получатель
Приморский край,п. Томск,"алл. Высоцкого, д. 7/5",получатель
Приморский край,п. Абакан,"ш. Машиностроителей, д. 2/9",получатель
Тульская обл.,к. Миасс,"пр. Трудовой, д. 9 стр. 126",получатель
Краснодарский край,к. Курск,"бул. Крылова, д. 4 к. 361",отправитель
Чукотский АО,с. Березники,"ш. Больничное, д. 7/1 стр. 70",отправитель
Ярославская обл.,д. Балтийск,"наб. Коммуны, д. 20 к. 911",получатель
респ. Удмуртия,г. Елец,"пер. Автомобилистов, д. 60 стр. 982",отправитель
Пермский край,с. Лодейное Поле,"бул. Революции, д. 4 стр. 6/3",получатель
Московская обл.,ст. Урюпинск,"ул. Южная, д. 73 к. 268",отправитель
респ. Татарстан,к. Воркута,"ш. Покровское, д. 9/8",отправитель
респ. Адыгея,г. Гдов,"ул. Крупской, д. 61 к. 5/3",отправитель
Красноярский край,к. Туруханск,"пр. Рязанский, д. 6",получатель
Ямало-Ненецкий АО,клх Каргасок,"бул. Глинки, д. 9 к. 1",отправитель
Камчатский край,д. Домбай,"пер. Технический, д. 933 стр. 2/2",получатель
Ненецкий АО,ст. Саянск,"бул. Запрудный, д. 8/3 к. 4/7",отправитель
Хабаровский край,с. Шенкурск,"наб. Братская, д. 28 к. 236",отправитель
респ. Северная Осетия - Алания,к. Невельск,"ул. Розы Люксембург, д. 415",отправитель
респ. Адыгея,клх Учалы,"пер. Плеханова, д. 4 стр. 2/6",получатель
Ханты-Мансийский АО,п. Салават,"пер. Детский, д. 4/4",отправитель
респ. Саха (Якутия),к. Осташков,"пр. Королева, д. 7/7 стр. 926",получатель
Ямало-Ненецкий АО,с. Гусь-Хрустальный,"пер. Широкий, д. 8/6 к. 806",получатель
Ямало-Ненецкий АО,г. Братск,"пер. Российский, д. 4/5 к. 18",получатель
Еврейская АО,ст. Кетченеры,"ул. Саратовская, д. 723 стр. 9/8",отправитель
респ. Тыва,с. Северобайкальск,"ш. Пограничное, д. 227 стр. 649",получатель
Пермский край,ст. Армавир,"ш. Высокое, д. 67",получатель
Ставропольский край,к. Кропоткин (Краснод.),"пр. Заводской, д. 5",получатель
Магаданская обл.,г. Южно-Курильск,"бул. Окружной, д. 9",отправитель
респ. Марий-Эл,ст. Устюжна,"бул. Механизаторов, д. 53 стр. 5",отправитель
Белгородская обл.,г. Ногинск (Моск.),"ш. Олимпийское, д. 270 стр. 2/3",отправитель
Ненецкий АО,клх Березники,"ул. Озерная, д. 9 к. 1",отправитель
респ. Калмыкия,г. Всеволожск,"ш. 9 Января, д. 678 к. 329",получатель
Ямало-Ненецкий АО,п. Дагомыс,"бул. Таежный, д. 17",отправитель
Ханты-Мансийский АО,с. Стерлитамак,"наб. 60 лет СССР, д. 6 к. 3",получатель
Пермский край,клх Уссурийск,"алл. Интернациональная, д. 9/8",получатель
Алтайский край,г. Мытищи,"пр. Молодежный, д. 7/6 стр. 8/8",отправитель
Ненецкий АО,клх Тарко-Сале,"ул. Ягодная, д. 2/1 к. 1/7",получатель
Ханты-Мансийский АО,к. Лазаревское,"пер. Народный, д. 7/3",отправитель
Ямало-Ненецкий АО,д. Таганрог,"ш. Овражное, д. 62 к. 922",получатель
Кировская обл.,д. Майкоп,"пр. 30 лет Победы, д. 4",получатель
Чукотский АО,клх Вязьма,"бул. Проточный, д. 859",отправитель
Камчатский край,г. Каменномостский,"ул. Чернышевского, д. 59 к. 7",отправитель
респ. Чувашия,клх Усть-Калманка,"пр. Вокзальный, д. 16 стр. 60",получатель
